Paper,Type,Value,Sign,Location,Comment,year
Vaughn-2007-Context-dependent sp.txt,R2-value,0.018,=,Text,,2007
Vaughn-2007-Context-dependent sp.txt,P-value,0.285,=,Text,,2007
Vaughn-2007-Context-dependent sp.txt,R2-value,0.018,=,Figure caption,,2007
Vaughn-2007-Context-dependent sp.txt,P-value,0.285,=,Figure caption,,2007
Vaughn-2007-Context-dependent sp.txt,R2-value,0.003,=,Figure caption,,2007
Vaughn-2007-Context-dependent sp.txt,P-value,0.67,=,Figure caption,,2007
Vaughn-2007-Context-dependent sp.txt,R2-value,0.46,=,Figure caption,,2007
Vaughn-2007-Context-dependent sp.txt,P-value,0.001,<,Figure caption,,2007
Vaughn-2007-Context-dependent sp.txt,R2-value,0.013,=,Figure caption,,2007
Vaughn-2007-Context-dependent sp.txt,P-value,0.378,=,Figure caption,,2007
Vaughn-2007-Context-dependent sp.txt,R2-value,0.271,=,Figure caption,,2007
Vaughn-2007-Context-dependent sp.txt,P-value,0.001,<,Figure caption,,2007
Vaughn-2007-Context-dependent sp.txt,R2-value,0.021,=,Figure caption,,2007
Vaughn-2007-Context-dependent sp.txt,P-value,0.275,=,Figure caption,,2007
Vaughn-2007-Context-dependent sp.txt,R2-value,0.46,=,Text,,2007
Vaughn-2007-Context-dependent sp.txt,P-value,0.001,<,Text,,2007
Vaughn-2007-Context-dependent sp.txt,R2-value,0.004,=,Text,,2007
Vaughn-2007-Context-dependent sp.txt,P-value,0.736,<,Text,,2007
Vaughn-2007-Context-dependent sp.txt,R2-value,0.056,=,Text,,2007
Vaughn-2007-Context-dependent sp.txt,P-value,0.21,<,Text,,2007
Vaughn-2007-Context-dependent sp.txt,R2-value,0.001,=,Text,,2007
Vaughn-2007-Context-dependent sp.txt,P-value,0.976,<,Text,,2007
Vaughn-2007-Context-dependent sp.txt,R2-value,0.236,=,Text,,2007
Vaughn-2007-Context-dependent sp.txt,P-value,0.001,<,Text,,2007
Vaughn-2007-Context-dependent sp.txt,R2-value,0.271,=,Text,,2007
Vaughn-2007-Context-dependent sp.txt,P-value,0.001,<,Text,,2007
Vaughn-2007-Context-dependent sp.txt,P-value,0.065,=,Table,,2007
Vaughn-2007-Context-dependent sp.txt,P-value,0.28,=,Table,,2007
Vaughn-2007-Context-dependent sp.txt,P-value,0.069,=,Table,,2007
Vaughn-2007-Context-dependent sp.txt,P-value,0.016,=,Table,,2007
Vaughn-2007-Context-dependent sp.txt,P-value,0.031,=,Table,,2007
Vaughn-2007-Context-dependent sp.txt,P-value,0.004,=,Table,,2007
Vaughn-2007-Context-dependent sp.txt,P-value,0.018,=,Table,,2007
Vaughn-2007-Context-dependent sp.txt,R2-value,0.06,=,Figure caption,,2007
Vaughn-2007-Context-dependent sp.txt,P-value,0.218,=,Figure caption,,2007
Vaughn-2007-Context-dependent sp.txt,R2-value,0.234,=,Figure caption,,2007
Vaughn-2007-Context-dependent sp.txt,P-value,0.008,=,Figure caption,,2007
Vaughn-2007-Context-dependent sp.txt,R2-value,0.286,=,Figure caption,,2007
Vaughn-2007-Context-dependent sp.txt,P-value,0.003,=,Figure caption,,2007
Vaughn-2007-Context-dependent sp.txt,R2-value,0.007,=,Figure caption,,2007
Vaughn-2007-Context-dependent sp.txt,P-value,0.65,=,Figure caption,,2007
Vaughn-2007-Context-dependent sp.txt,R2-value,0.075,=,Figure caption,,2007
Vaughn-2007-Context-dependent sp.txt,P-value,0.167,=,Figure caption,,2007
Vaughn-2007-Context-dependent sp.txt,R2-value,0.101,=,Figure caption,,2007
Vaughn-2007-Context-dependent sp.txt,P-value,0.087,=,Figure caption,,2007
Vaughn-2007-Context-dependent sp.txt,R2-value,0.134,=,Figure caption,,2007
Vaughn-2007-Context-dependent sp.txt,P-value,0.061,=,Figure caption,,2007
Vaughn-2007-Context-dependent sp.txt,R2-value,0.097,=,Figure caption,,2007
Vaughn-2007-Context-dependent sp.txt,P-value,0.093,=,Figure caption,,2007
Apanius-2000-Island and taxon eff.txt,P-value,0.0015,=,Text,,2000
Apanius-2000-Island and taxon eff.txt,P-value,0.006,=,Text,,2000
Apanius-2000-Island and taxon eff.txt,P-value,0.03,=,Text,,2000
Apanius-2000-Island and taxon eff.txt,P-value,0.84,=,Text,,2000
Apanius-2000-Island and taxon eff.txt,P-value,0.45,=,Text,,2000
Apanius-2000-Island and taxon eff.txt,P-value,0.003,=,Text,,2000
Apanius-2000-Island and taxon eff.txt,P-value,0.0001,<,Table,,2000
Apanius-2000-Island and taxon eff.txt,P-value,0.0001,<,Table,,2000
Apanius-2000-Island and taxon eff.txt,P-value,0.311,=,Table,,2000
Apanius-2000-Island and taxon eff.txt,P-value,0.0017,=,Table,,2000
Apanius-2000-Island and taxon eff.txt,P-value,0.26,=,Text,,2000
Apanius-2000-Island and taxon eff.txt,P-value,0.0001,<,Text,,2000
Apanius-2000-Island and taxon eff.txt,P-value,0.15,>,Text,,2000
Apanius-2000-Island and taxon eff.txt,P-value,0.15,>,Text,,2000
Apanius-2000-Island and taxon eff.txt,P-value,0.067,=,Text,,2000
Apanius-2000-Island and taxon eff.txt,P-value,0.27,=,Text,,2000
Apanius-2000-Island and taxon eff.txt,P-value,0.027,=,Text,,2000
Apanius-2000-Island and taxon eff.txt,P-value,0.01,<,Text,,2000
Apanius-2000-Island and taxon eff.txt,P-value,0.0005,=,Table,,2000
Apanius-2000-Island and taxon eff.txt,P-value,0.0001,<,Table,,2000
Apanius-2000-Island and taxon eff.txt,P-value,0.0044,=,Table,,2000
Apanius-2000-Island and taxon eff.txt,R2-value,0.18,=,Table,,2000
Apanius-2000-Island and taxon eff.txt,P-value,0.01,<,Text,,2000
Apanius-2000-Island and taxon eff.txt,P-value,0.01,<,Text,,2000
Apanius-2000-Island and taxon eff.txt,P-value,0.06,=,Text,,2000
Apanius-2000-Island and taxon eff.txt,P-value,0.15,>,Text,,2000
Apanius-2000-Island and taxon eff.txt,P-value,0.0001,<,Table,,2000
Apanius-2000-Island and taxon eff.txt,P-value,0.001,=,Table,,2000
Apanius-2000-Island and taxon eff.txt,P-value,0.009,=,Table,,2000
Apanius-2000-Island and taxon eff.txt,R2-value,0.38,=,Table,,2000
Apanius-2000-Island and taxon eff.txt,P-value,0.025,<,Text,,2000
Apanius-2000-Island and taxon eff.txt,P-value,0.027,=,Text,,2000
Apanius-2000-Island and taxon eff.txt,P-value,0.067,=,Text,,2000
